title,slug,status,created_at,feature_image,content_images
Already here :),coming-soon,published,2023-03-08 19:42:28,images/remote/photo-1568144628871-ccbb00fc297c,
About this site,about,published,2023-03-08 19:42:41,images/2023/03/a4324820-ef45-4318-920c-28f24f5e299b.png,
A mid-morning US harvest,a-mid-morning-us-harvest,published,2023-03-08 19:48:44,images/2023/03/328244911_1137321840291614_3728922478177481520_n.jpg,
More Than 60% of All Food Waste is Produced on the Commercial Level,more-than-60-of-all-food-waste-is-produced-on-the-commercial-level,published,2023-03-09 09:55:55,images/2023/03/Commercial-level.png,
1 in 6 Americans Is Food Insecure,1-in-6-americans-is-food-insecure,published,2023-03-09 09:58:45,images/2023/03/American-people.png,
That is so wrong!,that-is-so-wrong,published,2023-03-09 10:02:56,images/2023/03/305179993_1428504007615524_2702178215668710721_n.jpeg,"images/2023/03/305208366_444720447439392_4120575003395537537_n-1.jpeg, images/2023/03/305153322_1547875179002259_3105367584237017625_n-1.jpeg"
Antioxidants are compounds that help protect our cells from damage,antioxidants-are-compounds-that-help-protect-our-cells-from-damage,published,2023-03-09 11:14:54,images/2023/03/Food-rich-in-Antioxidants.jpg,
Over 240 Million Slices of Bread Are Chucked Away Every Year,over-240-million-slices-of-bread-are-chucked-away-every-year,published,2023-03-09 11:17:15,images/2023/03/Bread.png,
Over 30% of food is lost or wasted each year.,untitled,published,2023-03-09 11:22:12,images/2023/03/8541e654-e5ab-41a2-ba1f-e81d3999fad3.png,
The climate crisis demands lower meat diets,climate-crisis-demands-lower-meat-diets,published,2023-03-09 11:26:13,images/2023/03/1677691953617.jpeg,
Welcome to our foodsharing company donation page!,welcome-to-our-foodsharing-company-donation-page,published,2023-03-09 12:15:10,images/2023/03/2023-03-03-14.57.52.jpg,
5 facts about food waste,5-facts-about-food-waste,published,2023-03-09 12:20:35,images/2023/03/FqTJJwRWcAEhSTe.jpeg,
Donation,donation,published,2023-03-09 12:27:51,images/2023/03/2023-03-03-14.57.52-1.jpg,
OzHarvest FEAST program helps students,ozharvest-feast-program-helps-students,published,2023-03-09 20:09:00,images/2023/03/1678315562826.jpeg,
Ugly fruits and vegetables,ugly-fruits-and-vegetables,published,2023-03-10 09:08:33,images/2023/03/960x0.jpg,
Supermarkets are major contributors to food waste,supermarkets-are-major-contributors-to-food-waste,published,2023-03-10 12:53:23,images/2023/03/ezgif-3-c3a4391103.jpg,
Dumpster Diving Points To A Much Bigger Beauty Problem,dumpster-diving-points-to-a-much-bigger-beauty-problem,published,2023-03-10 18:43:20,images/2023/03/ezgif-4-5478afd2d4.jpg,
Witness the INSANE land use of US meat/dairy,witness-the-insane-land-use-of-us-meat-dairy,published,2023-03-10 20:01:39,images/2023/03/1678384601309.jpeg,
Why is urban nature so important?,why-is-urban-nature-so-important,published,2023-03-10 20:04:31,images/2023/03/1678428035863-1.jpeg,
DUMPSTER DIVE DELICIOUSNESS,dumpster-dive-deliciousness,published,2023-03-10 20:12:16,images/2023/03/2014-09-28-2--1-.jpg,
The meat industry continues to fiercely lobby against plant-based options,the-meat-industry-continues-to-fiercely-lobby-against-plant-based-options,published,2023-03-10 20:31:53,images/2023/03/1678471183698.jpeg,
One of India�s trash mountains is on fire again and residents are choking on its toxic fumes,one-of-indias-trash-mountains-is-on-fire-again-and-residents-are-choking-on-its-toxic-fumes,published,2023-03-11 09:09:13,images/2023/03/230306175740-01-brahmapuram-plant.jpg,
Bell Peppers�,bell-peppers,published,2023-03-11 11:18:21,images/2023/03/1678051756790.jpeg,
Plant-Based Meat Market to Almost Double in Value Despite Recent Drop in Sales,plant-based-meat-market-to-almost-double-in-value-despite-recent-drop-in-sales,published,2023-03-11 11:37:30,images/2023/03/Green-Go.webp,
12 Reasons to Stop Drinking Cow�s Milk,12-reasons-to-stop-drinking-cows-milk,published,2023-03-11 13:03:16,,"images/remote/xray-602x501.jpg, images/remote/got-prostate-cancer_MILK_BB72-1024x299.jpg, images/remote/8304.HoeDown2010_5F00_JoMcArthur_2D00_3268.jpg, images/remote/BB-got_zits-page-001-1024x298.jpg, images/remote/cow-on-factory-farm-602x409-1435682829.jpg, images/remote/Happy-Mother-and-Baby-Cows-602x384.jpg, images/remote/sick-kid-602x402.jpg, images/remote/800-pigs-in-grass1-198x120.jpg, images/remote/milking-602x397.jpg, images/remote/Cow-on-Factory-Farm-PETA-Owned-602x429-1435685095.jpg, images/remote/picture-4-1-602x348-1435685250.jpg, images/remote/vegan-swaps-for-dairy-products-peta.png"
How �ugly� fruit and vegetables could tackle food waste and solve supermarket supply shortages,how-ugly-fruit-and-vegetables-could-tackle-food-waste-and-solve-supermarket-supply-shortages,published,2023-03-11 15:21:01,images/2023/03/00498832b87544bf97238c73494ddf0f.jpg,
Las Vegas has a food waste problem,las-vegas-has-a-food-waste-problem,published,2023-03-11 20:02:09,images/2023/03/las-vegas-trash-bags.jpg,
All of this food would typically go to landfill where it would create methane gas.,all-of-this-food-would-typically-go-to-landfill-where-it-would-create-methane-gas-2,published,2023-03-13 06:25:16,,
Which food waste produces the most methane in a landfill when it is isolated from oxygen?,responsible-for-producing-the-most-methane-emissions-inside-a-landfill-when-they-are-isolated-from-oxygen,published,2023-03-13 06:36:19,images/2023/03/feature_landfill_methane_main-760x378-1.jpg,
Fruit trees are true wealth.,fruit-trees-are-true-wealth,published,2023-03-13 08:03:43,images/2023/03/335281101_1210398926251554_4021459924063784732_n--1-.jpg,
Why isn't anyone speaking about our food system?,why-isnt-anyone-speaking-about-our-food-system,published,2023-03-14 19:35:09,,
Human health: the catalyst to creating regenerative food systems,human-health-the-catalyst-to-creating-regenerative-food-systems,published,2023-03-14 20:30:47,images/2023/03/cf95328c-bd64-477d-beee-688d530a2e3b_1024x615.webp,
Respect to Lidl GB on this one,respect-to-lidl-gb-on-this-one,published,2023-03-14 20:41:41,images/2023/03/1678048021816.jpeg,
More people are seeking food relief than ever before,more-people-are-seeking-food-relief-than-ever-before,published,2023-03-14 20:46:46,images/2023/03/1678758016701.jpeg,
?? FREE Sustainability courses from the United Nations,free-sustainability-courses-from-the-united-nations,published,2023-03-14 20:54:05,images/2023/03/1678717058319.jpeg,
"The Best that Money Can't Buy: Beyond Politics, Poverty, & War",the-best-that-money-cant-buy-beyond-politics-poverty-war-2,published,2023-03-14 21:02:51,images/2023/03/334780408_584297583738447_2408047366588961213_n.jpg,
The Evening Post in Norway is asking: Does it pay for supermarkets to dump out perfectly edible food?,the-evening-post-in-norway-is-asking-does-it-pay-for-supermarkets-to-dump-out-perfectly-edible-food,published,2023-03-14 21:07:41,images/2023/03/1678700468535.jpeg,
Bon App�tit,bon-appetit,published,2023-03-17 08:50:34,images/2023/03/just-eat-it-food-waste-hummus.webp,
"The Australian Government has reversed its decision on ""renewable"" biomass.",the-australian-government-has-reversed-its-decision-on-renewable-biomass,published,2023-03-17 12:34:21,,
Today I was allowed to save food again,today-i-was-allowed-to-save-food-again,published,2023-03-17 16:24:36,images/2023/03/173063714_216939316852698_8206013384164981758_n.jpg,
Environment and Climate Change Canada,environment-and-climate-change-canada,published,2023-03-18 11:57:13,,
More treasure than trash: Dumpster diving continues to rise across Australia,more-treasure-than-trash-dumpster-diving-continues-to-rise-across-australia,published,2023-03-18 12:09:08,images/2023/03/https___prod.static9.net.au___media_2018_10_26_16_57_dumpsterfeed--1-.jpg,"images/remote/https%3A%2F%2Fprod.static9.net.au%2F_%2Fmedia%2F2018%2F10%2F26%2F16%2F56%2F44830136_2137140773002767_1161153135847145472_n.jpg, images/remote/https%3A%2F%2Fprod.static9.net.au%2F_%2Fmedia%2F2018%2F10%2F26%2F16%2F56%2Fvanessafeed.jpg, images/remote/https%3A%2F%2Fprod.static9.net.au%2F_%2Fmedia%2F2018%2F10%2F26%2F17%2F07%2FCapture.PNG, images/remote/https%3A%2F%2Fprod.static9.net.au%2F_%2Fmedia%2F2018%2F10%2F26%2F16%2F56%2Fdd.jpg"
Dumpster diving isn't crazy - food waste is,dumpster-diving-isnt-crazy-food-waste-is,published,2023-03-18 12:16:00,images/2023/03/food.jpg,"images/remote/IMG_2032.jpg, images/remote/IMG_2033.jpg, images/remote/unnamed+%282%29.jpg"
Food rescued,food-rescued,published,2023-03-18 14:22:40,images/2023/03/335786785_886097746017433_7192260776780694195_n.jpg,
Join the Fight Against Food Waste and World Hunger - Test Our New Foodsharing App Today,a-call-to-the-foodsharing-communities-for-help,published,2023-03-19 10:24:36,images/2023/03/Food-is-medicine--1-.png,
"Mounting Food Waste: The Growing Environmental, Economic, and Social Problem We Can No Longer Ignore",mounting-food-waste-the-growing-environmental-economic-and-social-problem-we-can-no-longer-ignore,published,2023-03-19 13:21:17,images/2023/03/organicnz_huge_mountains_of_discarded_and_wasted_food_photoreal_675cf149-5519-4841-81e0-332976d372d6--1-.png,
Fighting Food Waste: Preventing a Dystopian Future like in Wall-e,fighting-food-waste-preventing-a-dystopian-future-like-in-wall-e,published,2023-03-20 12:28:03,images/2023/03/DefensiveUnfoldedImago-size_restricted.gif,
Food Waste: A Dystopian Future in the Making,food-waste-a-dystopian-future-in-the-making,published,2023-03-20 14:20:08,images/2023/03/wall-e_trash.webp,
Supermarkets would rather feed its food surplus to insects than selling foods too cheaply via discounts to their customers,supermarkets-would-rather-feed-its-food-surplus-to-insects-than-selling-foods-too-cheaply-via-discounts-to-their-customers,published,2023-03-20 15:08:33,images/2023/03/1679322461268.jpeg,
"When we say ""I'll throw this away"", this is what ""away"" means",when-we-say-ill-throw-this-away-this-is-what-away-means,published,2023-03-20 15:29:57,,
What We are Reading: Our 7 Essential Books on Hunger and Food Waste,what-we-are-reading-our-7-essential-books-on-hunger-and-food-waste,published,2023-03-20 18:19:14,images/2023/03/719ftweZ7EL.jpg,"images/remote/9781631066580.jpeg, images/remote/59d4b992d7fa2833253bf4a8fbe91112887e573c.jpeg, images/remote/36236132._UY1200_SS1200_.png, images/remote/912gRdVxnUL.jpeg, images/remote/9780060954864.jpeg, images/remote/s109435544520601797_p3274_i1_w647.jpeg, images/remote/61eMKIEKB5L.jpeg"
Shop's dumps,shops-dumps,published,2023-03-20 18:49:21,images/2023/03/336335541_616047896528468_6044417084461738999_n.jpg,
? New IPCC report ?,new-ipcc-report,published,2023-03-20 19:28:11,images/2023/03/1679338789207.jpeg,
Combatting Food Waste During Ramadan: Strategies and Solutions,combatting-food-waste-during-ramadan-strategies-and-solutions,published,2023-03-22 11:47:29,images/2023/03/food-waste-Ramadan.jpg,
"Reducing Food Waste During Ramadan: Causes, Consequences, and Solutions in the Arab World",reducing-food-waste-during-ramadan-causes-consequences-and-solutions-in-the-arab-world,published,2023-03-22 12:09:42,images/2023/03/image3-770x400.png,
Danish on-farm food waste,danish-on-farm-food-waste,published,2023-03-22 13:09:02,images/2023/03/1679488300769.jpeg,
A Rapidly Closing Window of Opportunity?: Latest IPCC Report Urges Immediate Climate Action,a-rapidly-closing-window-of-opportunity-latest-ipcc-report-urges-immediate-climate-action,published,2023-03-22 13:24:44,images/2023/03/1679417801336.png,
Containers Non food-Edition,containers-non-food-edition,published,2023-03-23 09:37:47,images/2023/03/337179128_594714362574677_8005743378231233825_n.jpeg,
Non-standard pastry,non-standard-pastry,published,2023-03-23 09:42:11,images/2023/03/336405302_1412213646299535_8904659622839323014_n.jpeg,
5 TIPS TO WASTE LESS FOOD,5-tips-to-waste-less-food,published,2023-03-23 10:39:19,images/2023/03/canva-5-tips-to-help-with-food-waste-poster-SjHxMSM5qTw.jpg,
What Is Zero Waste?,what-is-zero-waste,published,2023-03-23 10:49:26,images/2023/03/canva-blue-3d-zero-waste-educational-poster-8DobrYM7qms.jpg,
An Apple a day keeps the landfill away...,an-apple-a-day-keeps-the-landfill-away,published,2023-03-23 11:50:28,images/2023/03/Untitled-design--1-.png,
The Benefits of Choosing Ugly Produce: Reducing Food Waste and Supporting Sustainability,the-benefits-of-choosing-ugly-produce-reducing-food-waste-and-supporting-sustainability,published,2023-03-25 09:49:35,images/2023/03/foodshare.club.png,
The Environmental Impact of Food Waste: Why We Need to Reduce It,the-environmental-impact-of-food-waste-why-we-need-to-reduce-it,published,2023-03-25 10:04:41,images/2023/03/foodshare.club--1-.png,
Do you like fruit?,do-you-like-fruit,published,2023-03-25 11:28:48,images/2023/03/canva-0zLlv_tT-ys.jpg,
Cornerstone Cafe at the University of Technology Sydney offer the Good-Edi coffee cups,cornerstone-cafe-at-the-university-of-technology-sydney-offer-the-good-edi-coffee-cups,published,2023-03-26 10:26:15,images/2023/03/Coffe--1-.png,
World Day for the End of Fishing,world-day-for-the-end-of-fishing,published,2023-03-26 12:22:24,images/2023/03/1679756444834.jpeg,
Grass puppies ?,grass-puppies,published,2023-03-26 12:29:38,images/2023/03/1679774403430.jpeg,
What a great action,what-a-great-action,published,2023-03-26 13:20:47,images/2023/03/1679505202397.jpeg,
Preventing food from falling through the cracks,preventing-food-from-falling-through-the-cracks,published,2023-03-26 13:56:52,images/2023/03/1679317313541.jpeg,
The beauty and the ridicule of our interconnected world,the-beauty-and-the-ridicule-of-our-interconnected-world,published,2023-03-26 14:09:49,images/2023/03/1679566894773.jpeg,
"Breakfast, lunch and dinner sorted",breakfast-lunch-and-dinner-sorted,published,2023-03-26 14:24:26,,
Scandalously: the meat industry have blocked the IPCC from highlighting the need for more plant-based diets,scandalously-the-meat-industry-have-blocked-the-ipcc-from-highlighting-the-need-for-more-plant-based-diets,published,2023-03-27 17:30:53,images/2023/03/1679932336941-1.jpeg,
Why The Phrase Food Waste Is Hindering The Fight To Prevent It,why-the-phrase-food-waste-is-hindering-the-fight-to-prevent-it,published,2023-03-27 17:52:11,images/2023/03/960x0--1-.jpg,
Revolutionizing Food Sharing: Real-Time Chats and Map Integration on Our Web App,revolutionizing-food-sharing-real-time-chats-and-map-integration-on-our-web-app,published,2023-03-27 18:02:43,images/2023/03/18214766d8b14c948202e3bfcb7219b5--1-.jpg,
"Save Earth, Save Yourself",save-earth-save-yourself,published,2023-03-27 19:22:15,images/2023/03/Tosca-Minimalist-Zero-Waste-Reminder-Instagram-Post-1.png,
Foodshare has implemented maps,foodshare-has-implemented-maps,published,2023-03-27 19:36:39,images/2023/03/Maps--1-.png,
Today is Denmark's Overshoot day,today-is-denmarks-overshoot-day,published,2023-03-28 09:44:20,images/2023/03/1679983872543.jpeg,
March 28 is Denmark's Overshoot Day,march-28-is-denmarks-overshoot-day,published,2023-03-28 11:19:04,images/2023/03/1679999885508.jpeg,
The Economic Cost of Food Waste: A Global Perspective,the-economic-cost-of-food-waste-a-global-perspective,published,2023-03-28 13:40:37,images/2023/03/GettyImages-162980721-JVedit.jpg,
Bell pepper left unharvested because the price dropped below the harvest cost,bell-pepper-left-unharvested-because-the-price-dropped-below-the-harvest-cost,published,2023-03-28 16:59:02,images/2023/03/1680006165574.jpeg,
Rotting food waste,rotting-food-waste,published,2023-03-29 09:29:31,images/2023/03/Did-you-know_-Rotting-food-waste-creates-methane-gas--which-is-more-harmful-to-the-environment-than-carbon-dioxide..png,
Overripe bananas?,overripe-bananas,published,2023-03-29 09:41:07,images/2023/03/Green-And-Yellow-Modern-Food-Smoothie-Recipe-Instagram-Post--1-.png,
Do you need to worry about pesticide residues on fruits and vegetables?,do-you-need-to-worry-about-pesticide-residues-on-fruits-and-vegetables,published,2023-03-29 10:25:52,images/2023/03/1680018101124--1-.jpeg,
Food waste: bread,food-waste-bread,published,2023-03-29 11:00:53,images/2023/03/1680085120940.jpeg,
"Before you throw out that food, remember",before-you-throw-out-that-food-remember,published,2023-03-29 15:38:14,images/2023/03/For-tips-on-how-to-reduce-your-own-food-waste--head-to-foodshare.club.png,
"The Global Impact of Food Waste and Loss: A Look at Europe, the USA, and Beyond",the-global-impact-of-food-waste-and-loss-a-look-at-europe-the-usa-and-beyond,published,2023-03-30 09:27:13,images/2023/03/people-and-globe.jpg,
Food price inflation,food-price-inflation,published,2023-03-30 13:32:36,,
Farming Realities: Tough Decisions for Economic Sustainability and Food Loss,farming-realities-tough-decisions-for-economic-sustainability-and-food-loss,published,2023-03-30 13:43:16,images/2023/03/1680093953631.jpeg,
Zero Waste Living: A Sustainable Lifestyle,zero-waste-living-a-sustainable-lifestyle,published,2023-03-30 13:58:48,images/2023/03/Green-White-Modern-Photo-centric--Zero-Waste-Living-Presentation.jpg,
Food Waste and Methane Emissions: The Importance of Reducing Food Waste for a Sustainable Future,food-waste-and-methane-emissions-the-importance-of-reducing-food-waste-for-a-sustainable-future,published,2023-03-31 11:34:29,,
The Power of Mindfulness: Cultivating a Present Life,the-power-of-mindfulness-cultivating-a-present-life,published,2023-03-31 11:44:51,images/2023/03/Healthy-Food.png,
The world waste,the-world-waste,published,2023-04-02 09:45:26,,
How To Make Vegan Pesto With Stinging Nettles,how-to-make-vegan-pesto-with-stinging-nettles,published,2023-04-02 10:38:52,images/2023/04/plant-based-news-vegan-stinging-nettle-pasta-730x500.webp,
"Embracing Zero Waste: The Importance of Reducing, Reusing, and Recycling",embracing-zero-waste-the-importance-of-reducing-reusing-and-recycling,published,2023-04-02 10:46:55,images/2023/04/Beige-Minimalist-Zero-Waste-Reminder-Instagram-Post.png,
How The Death Of Dumpster Diving Shows An Appetite For Reducing Global Food Waste,how-the-death-of-dumpster-diving-shows-an-appetite-for-reducing-global-food-waste,published,2023-04-02 20:03:47,images/2023/04/dumpster-diving-TStuart-cMurdo-Macleod--1-.jpg,
Robin Greenfield: Dumpster Diving,robin-greenfield-dumpster-diving,published,2023-04-02 20:13:12,images/2023/04/Los-Angeles-Food-Waste-Fiasco-Rob-Greenfield.jpg,
"Global Food Waste: 1.3 Billion Tonnes Discarded Annually, Valued at $1 Trillion",global-food-waste-1-3-billion-tonnes-discarded-annually-valued-at-1-trillion,published,2023-04-02 20:20:13,images/2023/04/e85cf7_972c8fac5dc549d5983aad8040a9482e_mv2.webp,
The Circular Economy and Food Waste,the-circular-economy-and-food-waste,published,2023-04-03 15:11:13,images/2023/04/1680531202657.jpeg,
Global food system,global-food-system,published,2023-04-03 15:19:54,images/2023/04/1680534070588.jpeg,
Australian food waste,australian-food-waste,published,2023-04-05 12:33:55,images/2023/04/CGI-20bn-of-food-waste-in-Sydney-Harbour_image-credit-Christian-Debney-e1604279384638.jpg,
Food waste and water,food-waste-and-water,published,2023-04-05 12:40:08,images/2023/04/resizer.jpeg,
Plastic Pollution in Africa: Threats and Solutions,plastic-pollution-in-africa-threats-and-solutions,published,2023-04-05 14:19:44,images/2023/04/plasticprobl.jpg,
GREENWASH ALERT,greenwash-alert,published,2023-04-05 18:23:49,images/2023/04/1680713502679.jpeg,
Greenhouse gas emissions,greenhouse-gas-emissions,published,2023-04-05 18:30:07,images/2023/04/climate-simulation.webp,
Waste Through Food Upcycling: A Profitable Opportunity,waste-through-food-upcycling-a-profitable-opportunity,published,2023-04-05 20:02:44,images/2023/04/6425d2e038fc8f8a8d3915d3_food-waste-4-p-2600.jpg,
Another University to go VEGAN,another-university-to-go-vegan,published,2023-04-05 20:08:07,images/2023/04/1680619041055.jpeg,
Dumpster dived fresh fruits and vegetables,dumpster-dived-fresh-fruits-and-vegetables,published,2023-04-05 20:13:32,images/2023/04/339342099_755445699400964_3644378188971288852_n.jpeg,
