title,slug,status,created_at,feature_image,content_images
Developed and developing countries waste,developed-and-developing-countries-waste,published,2023-04-05 20:22:25,images/2023/04/547749bbdbf3ecfdc9000001.jpg,
Germany: meat consumption,germany-meat-consumption,published,2023-04-06 22:42:26,images/2023/04/1680787754385.jpeg,
"Finding Balance: How Giving Up Led Me to a Healthier, Happier Life",finding-balance-how-giving-up-led-me-to-a-healthier-happier-life,published,2023-04-08 11:25:24,images/2023/04/1680743126481.jpeg,
Webinar: Circular Design for Food an introduction,webinar-circular-design-for-food-an-introduction,published,2023-04-09 09:18:47,images/2023/04/1680697834782.jpeg,
Carbon footprint infographic,carbon-footprint-infographic,published,2023-04-09 09:20:40,images/2023/04/1680966031143.jpeg,
Global temperature rise,global-temperature-rise,published,2023-04-09 09:45:26,,
What is a mushroom?,what-is-a-mushroom,published,2023-04-09 09:47:03,images/2023/04/1680843624399.jpeg,
Reversing the worlds massive food waste problem,reversing-the-worlds-massive-food-waste-problem,published,2023-04-09 09:50:33,images/2023/04/1680718959670.jpeg,
Banana is full of chemicals,banana-is-full-of-chemicals,published,2023-04-09 09:55:15,images/2023/04/1680825602834.jpeg,
Red Meat Increases Risk Of Endometriosis,red-meat-increases-risk-of-endometriosis,published,2023-04-09 09:59:40,images/2023/04/1680820201626.jpeg,
25 Foods You Can Re-Grow Yourself from Kitchen Scraps,25-foods-you-can-re-grow-yourself-from-kitchen-scraps,published,2023-04-09 21:16:21,images/2023/04/regrowfoodsfb.jpg,
10 Vegetables You Can Grow Indoors,10-vegetables-you-can-grow-indoors,published,2023-04-09 21:21:31,images/2023/04/vegetables-to-grow-indoors.webp,
10 Easy Vegetables to Grow in Pots,10-easy-vegetables-to-grow-in-pots,published,2023-04-09 21:27:23,images/2023/04/ContainerPlantingPin-800x1200.jpg,
When food waste and carbon dioxide,when-food-waste-and-carbon-dioxide,published,2023-04-09 21:35:33,images/2023/04/Neon-Green-Violet-Photocentric-Climate-Impact-Portrait-Food-Waste-Poster--1-.png,
Maintaining biodiversity means,maintaining-biodiversity-means,published,2023-04-09 22:00:44,images/2023/04/1681052711091.jpeg,
The Truth About Nutella,the-truth-about-nutella,published,2023-04-10 06:50:04,images/2023/04/nutella-facts-by-hungry-onion-blog.jpg,
Plant-based food good for health,plant-based-food-good-for-health,published,2023-04-11 06:08:40,images/2023/04/group-of-food-with-high-content-of-dietary-fiber-arranged-side-by-side.webp,
Global food challenges,global-food-challenges,published,2023-04-11 06:24:50,images/2023/04/1681128202596.jpeg,
Food Waste: The Silent Epidemic,food-waste-the-silent-epidemic,published,2023-04-14 08:12:04,images/remote/photo-1534533983688-c7b8e13fd3b6,
Quiz questions,quiz-questions,published,2023-04-15 13:08:59,images/2023/04/1681213872230.jpeg,
Food for thought,food-for-thought,published,2023-04-17 07:39:27,images/2023/04/Sky-Blue-Dark-Green-Corporate-Clean-Sustainable-Habits-Portrait-Food-Waste-Poster--1-.png,
Phyte away sickness with colorful fruits and vegetables,phyte-away-sickness-with-colorful-fruits-and-vegetables,published,2023-04-17 08:19:00,images/2023/04/fruits-and-vegetables-rainbow.jpg.webp,
When food rots it creates methane,when-food-rots-it-creates-methane,published,2023-04-17 08:27:38,images/2023/04/Orange-Green-Ivory-Expressive-Scribbles-Climate-Impact-Food-Waste-Facebook-Post.png,
Unharvested broccoli,unharvested-broccoli,published,2023-04-17 16:26:22,images/2023/04/1681736644600.jpeg,
LA community fridges,la-community-fridges,published,2023-04-18 19:27:57,images/2023/04/8d37f758545140eba4077e8455489253.jpg,
Perfectly Imperfect Silverdale Hub,perfectly-imperfect-silverdale-hub,published,2023-04-20 17:18:49,images/2023/04/1681885482587.jpeg,
This Earth Day,this-earth-day,published,2023-04-20 17:29:06,images/2023/04/1681938152414.jpeg,
Create a Meal with No Food Waste,create-a-meal-with-no-food-waste,published,2023-04-21 07:53:33,images/2023/04/Image-from-iOS-3-.jpg,
Zero waste and being vegan,zero-waste-and-being-vegan,published,2023-04-21 08:03:36,images/2023/04/IMG_9682.webp,
The rise of consumerism,the-rise-of-consumerism,published,2023-04-21 08:19:57,images/2023/04/consumerism-scaled.jpg,
Milk: land use,milk-land-use,published,2023-04-23 09:29:37,images/2023/04/1682184614423.jpeg,
How Reducing Portion Sizes Can Help Reduce Carbon Footprint,how-reducing-portion-sizes-can-help-reduce-carbon-footprint,published,2023-04-23 09:51:40,images/2023/04/1681987865012.jpeg,
Healthy Vegan Food,healthy-vegan-food-2,published,2023-04-24 14:11:42,images/2023/04/Colorful-Illustration-Healthy-Food-Planner-Presentation--1--1.jpg,
"Health Benefits of Incorporating Fruit, Veggies, Grains, Nuts, and Seeds Into Your Diet",health-benefits-of-incorporating-fruit-veggies-grains-nuts-and-seeds-into-your-diet,published,2023-04-24 15:27:15,,
Global temperature rise,global-temperature-rise-2,published,2023-04-24 16:07:49,images/2023/04/entry-cm_875-image.jpg,
Meat is eating up the planet,meat-is-eating-up-the-planet,published,2023-04-25 07:57:19,images/2023/04/1682072124658.jpeg,
The Hidden Costs of Food Waste: How Trashing Excess Food Is Driving Climate Change,the-hidden-costs-of-food-waste-how-trashing-excess-food-is-driving-climate-change,published,2023-04-25 07:57:20,images/2023/04/pexels-wendy-wei-1656663-1660x934-1.jpg,
The Abusive Relationship: Our Connection with Mother Earth,the-abusive-relationship-our-connection-with-mother-earth,published,2023-04-26 06:46:17,images/remote/photo-1584974292709-5c2f0619971b,
Regrowing vegetables,regrowing-vegetables,published,2023-04-26 07:10:10,images/2023/04/1681933340445--1-.jpeg,
Waste a meal,waste-a-meal,published,2023-04-27 19:14:01,images/2023/04/Pink-Black-Corporate-Clean-Climate-Impact-Food-Waste-Infographic.jpg,
Food waste fighting,food-waste-fighting-2,published,2023-04-28 21:29:50,images/2023/04/Purple-Green-Yellow-Expressive-Scribbles-Sustainable-Habits-Square-Food-Waste-Instagram-Post--1-.png,
Saving Sweet Potatoes: Reducing Food Waste Through Data Collection,saving-sweet-potatoes-reducing-food-waste-through-data-collection,published,2023-04-29 08:06:56,images/2023/04/1682690651294.jpeg,
Plant-based Milk,plant-based-milk,published,2023-04-29 18:13:48,images/2023/04/1682780464383-1.jpeg,
Do you need to worry about pesticide residues on fruits and vegetables?,do-you-need-to-worry-about-pesticide-residues-on-fruits-and-vegetables-2,published,2023-05-01 18:31:32,images/2023/05/1682452084642.jpeg,
NYC Promotes Plant-Based Diets to Reduce Food Emissions,nyc-promotes-plant-based-diets-to-reduce-food-emissions,published,2023-05-02 07:52:54,images/2023/05/1682941011426.jpeg,
Reducing Food Loss and Waste through Value-Added Processes and Human Rights Advocacy,reducing-food-loss-and-waste-through-value-added-processes-and-human-rights-advocacy,published,2023-05-03 17:04:25,images/2023/05/1683031866264.jpeg,
The Global Benefits of Reducing Food Loss and Waste,the-global-benefits-of-reducing-food-loss-and-waste,published,2023-05-03 17:41:10,images/2023/05/wasted-canned-food-at-supermarket-1.jpg,
The Black Carrot Nebula - an heirloom vegetable,the-black-carrot-nebula-an-heirloom-vegetable,published,2023-05-14 07:00:15,images/2023/05/1683821062380.jpeg,
Fighting Animal Abuse: A Case for Plant-Based Eating,fighting-animal-abuse-a-case-for-plant-based-eating,published,2023-05-15 07:31:23,images/2023/05/1683648075123.jpeg,
The Great Green Wall: A Success Story in Land Restoration and Climate Change Mitigation,the-great-green-wall-a-success-story-in-land-restoration-and-climate-change-mitigation,published,2023-05-16 08:25:27,images/2023/05/1683028677099.jpeg,
"Dairy's Hidden Climate Impact: Why Cheese and Butter Are Luxuries, Not Staples",dairys-hidden-climate-impact-why-cheese-and-butter-are-luxuries-not-staples,published,2023-05-17 09:02:10,images/2023/05/1683715126960.jpeg,
Zeroing In On Food Waste: A Toolkit For States,zeroing-in-on-food-waste-a-toolkit-for-states,published,2023-05-17 17:06:15,images/2023/05/1684325825813.jpeg,
Op-ed: Why Those Community Fridges Won�t Solve Hunger,op-ed-why-those-community-fridges-wont-solve-hunger,published,2023-05-17 18:31:39,images/2023/05/GettyImages-1211905673-scaled.jpg,
The Secondhand Refrigerators Feeding New Yorkers,the-secondhand-refrigerators-feeding-new-yorkers,published,2023-05-17 18:35:01,images/2023/05/c100a4990f0e1a93f06d21b82887235b7c-lede-.2x.rhorizontal.w1100.webp,"images/remote/652dc6532223b51cbbeea90144715135e3-2----.rhorizontal.w900.jpg, images/remote/d2743d7d6ef96470ed8ffc07fcaa6d7887-3----.rhorizontal.w900.jpg, images/remote/59e1cefbbe8ea1a54b00980517de64a890-4----.rhorizontal.w900.jpg, images/remote/6f9f18b6f503433ed4f5361a4dcc1aab78-5----.rhorizontal.w900.jpg, images/remote/c06b30b38abc0da06b84efaa01892f433c-6----.rhorizontal.w900.jpg, images/remote/e8fc88cd7598b33f4b4f127af15d9a291b-7----.rhorizontal.w900.jpg, images/remote/119f49a10a75476003e5f7943252e70f21-8----.rhorizontal.w900.jpg, images/remote/f89c518c99fb4ac2a5317f63709c20c17c-9----.rhorizontal.w900.jpg, images/remote/313d1a38088f9226e640d9b5e3724fdf60-10---.rhorizontal.w900.jpg, images/remote/817b66652a669fa403907436eb01995785-11---.rhorizontal.w900.jpg, images/remote/a2427ba71991d322b99dc45c4ab135fc3e-12---.rhorizontal.w900.jpg, images/remote/5c1dc17e40cd83e09786af6c940595c21e-13---.rhorizontal.w900.jpg, images/remote/f7df1646746b713381aad9cff1fb686b21-14---.rhorizontal.w900.jpg, images/remote/49850f827bf0201458660c3c7b809a475e-15---.rhorizontal.w900.jpg, images/remote/1031758bcbd48cba82605753d833d605b4-16---.rhorizontal.w900.jpg, images/remote/4a717bc4f4d3ee3a82a81f2644116abaa2-17---.rhorizontal.w900.jpg"
"Dramatic Reduction in Meat Consumption Needed to Address Climate Crisis, Says New Report",dramatic-reduction-in-meat-consumption-needed-to-address-climate-crisis-says-new-report,published,2023-05-18 06:18:37,images/2023/05/1684162671034.jpeg,
Mushrooms are a cost-effective alternative to meat,mushrooms-are-a-cost-effective-alternative-to-meat,published,2023-05-19 08:43:17,images/2023/05/1684249334950.jpeg,
Congress Takes Action Against Household Food Waste With Bipartisan Bill Introduction,congress-takes-action-against-household-food-waste-with-bipartisan-bill-introduction,published,2023-05-19 15:04:18,images/2023/05/Slide1.JPG.webp,
Sustainably Delicious: The Benefits of Agroforestry for Coffee and Chocolate Production,sustainably-delicious-the-benefits-of-agroforestry-for-coffee-and-chocolate-production,published,2023-05-21 07:16:14,images/2023/05/1684232493058.jpeg,
Bananas: A Nutritious and Delicious Fruit,bananas-a-nutritious-and-delicious-fruit,published,2023-05-22 11:06:36,images/2023/05/347107203_2458394504327632_6702975899371591897_n.jpg,
Why should food waste reduction be top of mind when thinking about climate change?,why-should-food-waste-reduction-be-top-of-mind-when-thinking-about-climate-change,published,2023-05-22 11:48:58,images/2023/05/1682708609358.png,
Exploring the Diversity of Grocery Stores and Open Street Markets in Asian Countries,exploring-the-diversity-of-grocery-stores-and-open-street-markets-in-asian-countries,published,2023-05-23 07:27:26,images/2023/05/345471445_624013076059324_3803137571149965666_n.jpg,
Sailing the Farm � Does Seasteading Have to be Expensive or Futuristic?,sailing-the-farm-does-seasteading-have-to-be-expensive-or-futuristic,published,2023-05-23 14:14:38,images/2023/05/SailFarm-Featured.webp,
Vegan Miso Lime Mayo Is A Must-Try Upgrade For Your Asparagus,vegan-miso-lime-mayo-is-a-must-try-upgrade-for-your-asparagus,published,2023-05-25 08:00:29,images/2023/05/plant-based-news-miso-mayo-asparagus-730x500.jpg,
Unlocking the Health Benefits of Bananas,unlocking-the-health-benefits-of-bananas,published,2023-05-26 07:32:56,images/2023/05/347556529_268117399107927_1823269941243428655_n.jpg,
Food Waste: The Silent Killer of Our Planet,food-waste-the-silent-killer-of-our-planet,published,2023-05-27 08:09:04,images/2023/05/pqRXEVrleveDxXV5PgRHEwzRrwfI0_ZNk9XaYU2YJAo.jpeg,
The Shocking Extent of Corporate Waste: Target's Dumpster Filled with Unexpired Perishables,the-shocking-extent-of-corporate-waste-targets-dumpster-filled-with-unexpired-perishables,published,2023-05-27 09:57:18,images/2023/05/349049647_1296734057588390_4123024899807027104_n.jpg,
Meat & fossil fuels: Climate crisis,meat-fossil-fuels-climate-crisis,published,2023-05-28 07:38:45,images/2023/05/1685054506086.jpeg,
Community Fridges,community-fridges,published,2023-05-29 07:07:40,images/2023/05/image-asset.jpeg,
This pasta salad uses rotini pasta and is full of various delicious and colorful summer ingredients,this-pasta-salad-uses-rotini-pasta-and-is-full-of-various-delicious-and-colorful-summer-ingredients,published,2023-05-31 07:27:33,images/2023/05/Summertime-Pasta-CA-Olives-Plant-Based-on-a-Budget-1.jpg,
The elephant in the climate tech room,the-elephant-in-the-climate-tech-room,published,2023-05-31 12:49:41,images/2023/05/1_ZebkfyG2rG3b_qPJgK8Jfw.webp,
How Plastics Can Be Removed From Our Rivers And Oceans,how-plastics-can-be-removed-from-our-rivers-and-oceans,published,2023-05-31 20:43:50,images/2023/05/1_J4vyZjECGxuuCfYuIIa0dQ.webp,
Dumpster Diving in LA: From Trash to Treasure | Saving America's Food Waste Documentary,dumpster-diving-in-la-from-trash-to-treasure-saving-americas-food-waste-documentary,published,2023-06-01 10:17:09,images/2023/06/maxresdefault--2-.jpg,
Zero Waste Documentary,zero-waste-documentary,published,2023-06-02 11:30:33,images/2023/06/zero-waste-ehkologiya-budushchego-ili-ocherednaya-fata-morgana.jpg,
FOOD WASTE TRANSPARENCY NOW!,food-waste-transparency-now,published,2023-06-03 10:51:23,images/2023/06/1685462755220.jpeg,
"Lentils And Broccoli Make A Perfect Iron-Rich Vegan Summer Salad (Yes, Really!)",lentils-and-broccoli-make-a-perfect-iron-rich-vegan-summer-salad-yes-really,published,2023-06-04 08:25:35,images/2023/06/plant-based-news-lentil-broccoli-salad-vegan-730x500.webp,
Iconic Vegan Documentary �The Game Changers� Is Getting A Sequel,iconic-vegan-documentary-the-game-changers-is-getting-a-sequel,published,2023-06-07 09:08:51,images/2023/06/1685731590917.jpeg,
"Building a Food System that Works for Everyone: A Look at the Intersection of Food Waste with Justice, Equity, Diversity, and Inclusion",building-a-food-system-that-works-for-everyone-a-look-at-the-intersection-of-food-waste-with-justice-equity-diversity-and-inclusion,published,2023-06-09 09:23:33,images/2023/06/1686011628581.jpeg,
From Cows to Choices: Unveiling the Environmental Footprint of Milk Options on WorldMilkDay,from-cows-to-choices-unveiling-the-environmental-footprint-of-milk-options-on-worldmilkday,published,2023-06-10 11:01:10,images/2023/06/1685695325874.jpeg,
Overcoming Perceived Difficulties: Unleashing the Power of Diet Change for a Sustainable Future,overcoming-perceived-difficulties-unleashing-the-power-of-diet-change-for-a-sustainable-future,published,2023-06-11 05:32:31,images/2023/06/1685606288987.jpeg,
Panera Bread: Leading the Way in Sustainability and Food Waste Prevention,panera-bread-leading-the-way-in-sustainability-and-food-waste-prevention,published,2023-06-13 16:59:09,images/2023/06/maxresdefault-1.jpg,
Beyond Individual Actions: Unveiling the Real Culprits in the Climate Crisis,beyond-individual-actions-unveiling-the-real-culprits-in-the-climate-crisis,published,2023-06-15 06:57:18,images/2023/06/1685952753153.jpeg,
Today's table!,todays-table,published,2023-06-16 17:53:37,images/2023/06/354216149_6350896531644094_7924148881652426458_n.jpg,
Another day Another supermarket dumpster,untitled-2,published,2023-06-17 06:03:24,images/2023/06/0_QKSJ2I3q8n_yLh-4.webp,
The 15 Best Plant-Based Protein Sources For Vegans,the-15-best-plant-based-protein-sources-for-vegans,published,2023-06-19 16:44:50,images/2023/06/plant-based-news-vegan-food-highest-protein-730x500.jpg,
National Food Waste Audit,national-food-waste-audit,published,2023-06-21 14:46:56,images/2023/06/GettyImages-1214984387.jpeg,
Shifting Towards Sustainability: The Role of Meat and Dairy in the EU Diet,shifting-towards-sustainability-the-role-of-meat-and-dairy-in-the-eu-diet,published,2023-06-23 15:56:16,images/2023/06/1686569832304.jpeg,
The Path to Sustainable Living: Embracing a Lifestyle for a Brighter Future,the-path-to-sustainable-living-embracing-a-lifestyle-for-a-brighter-future,published,2023-06-27 14:55:14,images/2023/06/356204105_684808446991819_700204060641619307_n.jpg,
Reducing Bread Waste: Introducing the 'Don't Waste Your Dough' Toolkit for Bakers,reducing-bread-waste-introducing-the-dont-waste-your-dough-toolkit-for-bakers,published,2023-06-29 17:26:12,images/2023/06/1688012667241.jpeg,
The Best Veggie Burgers,the-best-veggie-burgers,published,2023-06-30 08:10:38,images/2023/06/356945017_10167346799905618_376803665478490167_n.jpg,
EU LEAK OF FOOD WASTE TARGETS,eu-leak-of-food-waste-targets,published,2023-07-03 16:25:49,images/2023/07/1688400060560.jpeg,
EU Commission Proposes Binding Food Waste Targets: A Milestone in the Fight Against Food Waste,eu-commission-proposes-binding-food-waste-targets-a-milestone-in-the-fight-against-food-waste,published,2023-07-11 17:34:08,images/2023/07/shutterstock_1194695191-800x450.jpg,
Reviving the Plate: Shifting the Balance in Food Advertising Towards Health and Sustainability,this-is-what-we-call-waste-across-the-united-states-copy,published,2023-07-12 11:03:06,images/2023/07/1689151031153.jpeg,
Repurposing Food Waste into Sustainable Fertilizer,revolutionizing-agriculture-easy-energy-systems-partners-with-feed-earth-now-to-repurpose-food-waste-into-sustainable-fertilizer,published,2023-09-01 19:00:21,images/2023/09/1693514049291.jpeg,"images/2023/09/1693514048368.jpeg, images/2023/09/1693514047051.jpeg"
"As a vegan, I wonder. If we released all the animals from industrial farms, would they continue to multiply? And what is the annual consumption of animals by all of humanity, and what would be a realistic scenario?",untitled-3,published,2024-05-14 03:12:34,images/remote/photo-1596531517519-ca022f37008c,
"The $1 Trillion Food Waste Scandal: It's Not About Quantity, It's About Quality",the-1-trillion-food-waste-scandal-its-not-about-quantity-its-about-quality,published,2024-05-14 23:45:43,images/2024/05/LinkedIn-Feed-Image.jpeg,
How Many Vegans Are in the World? Exploring Veganism Growth in 2024,test,published,2024-05-27 20:33:03,images/2024/06/How-Many-Vegans-Are-in-the-World-Exploring-Veganism-Growth-in-2024.jpg,"images/remote/Vegetarian-Statisticgood-food-institute-reported-in-vegan-countriess-1024x576.jpg, images/remote/Vegetarian-population-1024x576.jpg, images/remote/vegan-around-the-world-1024x576.jpg, images/remote/TOP-10-MOST-VEGAN-COUNTRIES-1024x576.png, images/remote/lAQmFxwKkOa8XhI0-gkbLeEkL_hBvN-RXYN6wnP5Gnjsm4Jfm6Y_BemKUiDpMLDlkZk6NZYGf3QMlRh-UeYFFSNnO7OmU-1-ojVcYVZ04vsdet_abFDZUKVRiFZsz46CGflAOFYtSdDADF9-1d0_-rM, images/remote/how-many-vegan-in-the-world-1024x576.jpg, images/remote/How-Many-Vegans-in-the-US-1024x576.jpg, images/remote/food-and-agriculture-organization-1024x576.jpg, images/remote/plant-based-foods-1024x576.png, images/remote/how-many-people-eat-vegan-diets-1024x576.jpg, images/remote/vegan-food-sales-rising-1024x576.png, images/remote/how-many-vegans-are-there-in-the-world-1024x576.jpg, images/remote/veganism-statistic-1024x1002.png, images/remote/dairy-replacements-for-vegetarian-society-1024x576.png, images/remote/plant-based-foods-taste-like-plant-milk-1024x576.jpg, images/remote/entire-population-of-vegans-identify-1024x576.jpg, images/remote/Veganuary-Countries-1024x576.jpg, images/remote/more-than-half-continue-eating-meat-1024x576.jpg, images/remote/global-population-turning-vegan-1024x659.png, images/remote/research-conducted-on-young-adults--1024x576.jpg, images/remote/vegan-food-1024x576.jpg, images/remote/Veganism-Health-Benefits-1024x576.jpg, images/remote/most-vegans-affect-global-retail-sales-1024x576.jpg"
5 Food Myths You Should Stop Believing,5-food-myths-you-should-stop-believing,published,2024-09-14 05:51:01,images/2024/09/scale.webp,
